n,method,error
1000,"CIV$_{I,X,Y}$",0.40029427762190484
1000,CIV$_{I}$,0.5002222162780778
1000,NIV$_{1 \textrm{ lag}}$,0.07540293029228584
1000,NIV$_{3 \textrm{ lags}}$,0.005075771091492448
10000,"CIV$_{I,X,Y}$",0.03391293539465963
10000,CIV$_{I}$,0.09525842517453621
10000,NIV$_{1 \textrm{ lag}}$,0.003545736981888846
10000,NIV$_{3 \textrm{ lags}}$,0.00047885632505432487
100,"CIV$_{I,X,Y}$",0.3349698502541911
100,CIV$_{I}$,0.3223110773942398
100,NIV$_{1 \textrm{ lag}}$,0.6189535475686908
100,NIV$_{3 \textrm{ lags}}$,0.09186403815835048
1000,"CIV$_{I,X,Y}$",0.10768661505237839
1000,CIV$_{I}$,0.0968263185042644
1000,NIV$_{1 \textrm{ lag}}$,0.020716229685350855
1000,NIV$_{3 \textrm{ lags}}$,0.014015546640480797
10000,"CIV$_{I,X,Y}$",0.0035335728730305606
10000,CIV$_{I}$,0.003564287570714355
10000,NIV$_{1 \textrm{ lag}}$,0.0008791353941683533
10000,NIV$_{3 \textrm{ lags}}$,0.0009321682243831635
100,"CIV$_{I,X,Y}$",0.17925287097436088
100,CIV$_{I}$,0.33498125165699405
100,NIV$_{1 \textrm{ lag}}$,1.1319994721248088
100,NIV$_{3 \textrm{ lags}}$,0.12091405763421201
1000,"CIV$_{I,X,Y}$",0.02783803933606254
1000,CIV$_{I}$,0.07913548879039924
1000,NIV$_{1 \textrm{ lag}}$,2.6036658941262507
1000,NIV$_{3 \textrm{ lags}}$,0.012462841949761659
10000,"CIV$_{I,X,Y}$",0.002256561582786621
10000,CIV$_{I}$,0.003504590034272014
10000,NIV$_{1 \textrm{ lag}}$,2.5740609746769763
10000,NIV$_{3 \textrm{ lags}}$,0.000695688305301943
100,"CIV$_{I,X,Y}$",0.44472699106566943
100,CIV$_{I}$,7.094772889007347
100,NIV$_{1 \textrm{ lag}}$,0.4031333264137579
100,NIV$_{3 \textrm{ lags}}$,0.04822195896666877
1000,"CIV$_{I,X,Y}$",0.04388213657091305
1000,CIV$_{I}$,0.9422799081513192
1000,NIV$_{1 \textrm{ lag}}$,0.032420753335032935
1000,NIV$_{3 \textrm{ lags}}$,0.002372115905596858
10000,"CIV$_{I,X,Y}$",0.010035342292640258
10000,CIV$_{I}$,0.18134045199382404
10000,NIV$_{1 \textrm{ lag}}$,0.00198874139264424
10000,NIV$_{3 \textrm{ lags}}$,0.0001481866806100413
100,"CIV$_{I,X,Y}$",0.1720918981885185
100,CIV$_{I}$,17.712780137600635
100,NIV$_{1 \textrm{ lag}}$,53.744880855314555
100,NIV$_{3 \textrm{ lags}}$,0.07955253022749091
1000,"CIV$_{I,X,Y}$",0.006325758297157059
1000,CIV$_{I}$,0.7875422461035052
1000,NIV$_{1 \textrm{ lag}}$,0.6040644395575666
1000,NIV$_{3 \textrm{ lags}}$,0.005126988754789791
10000,"CIV$_{I,X,Y}$",0.001729358480908309
10000,CIV$_{I}$,0.04549972120025916
10000,NIV$_{1 \textrm{ lag}}$,0.02240046402483791
10000,NIV$_{3 \textrm{ lags}}$,0.0007404252367949594
100,"CIV$_{I,X,Y}$",0.09744158394756482
100,CIV$_{I}$,0.15150596741561592
100,NIV$_{1 \textrm{ lag}}$,0.02909293600203755
100,NIV$_{3 \textrm{ lags}}$,0.02323360160997845
1000,"CIV$_{I,X,Y}$",0.006199521294476676
1000,CIV$_{I}$,0.010531617051807118
1000,NIV$_{1 \textrm{ lag}}$,0.0026231592936493396
1000,NIV$_{3 \textrm{ lags}}$,0.000821639386372483
10000,"CIV$_{I,X,Y}$",0.0004271811710305008
10000,CIV$_{I}$,0.0005545336701522677
10000,NIV$_{1 \textrm{ lag}}$,0.00027797716047723426
10000,NIV$_{3 \textrm{ lags}}$,9.15607499604387e-05
100,"CIV$_{I,X,Y}$",0.10407958592307087
100,CIV$_{I}$,0.4852725873532842
100,NIV$_{1 \textrm{ lag}}$,4.405916455979291
100,NIV$_{3 \textrm{ lags}}$,0.03908222382911392
1000,"CIV$_{I,X,Y}$",0.011596843235899134
1000,CIV$_{I}$,0.050814082748385725
1000,NIV$_{1 \textrm{ lag}}$,0.11851253642663206
1000,NIV$_{3 \textrm{ lags}}$,0.0030773677447073736
10000,"CIV$_{I,X,Y}$",0.0014732372825780194
10000,CIV$_{I}$,0.006861079327251744
10000,NIV$_{1 \textrm{ lag}}$,0.0026924651553731117
10000,NIV$_{3 \textrm{ lags}}$,0.0003648886907334719
100,"CIV$_{I,X,Y}$",0.7393370221861029
100,CIV$_{I}$,0.5536870422160026
100,NIV$_{1 \textrm{ lag}}$,13.083060805016505
100,NIV$_{3 \textrm{ lags}}$,0.021589811608866374
1000,"CIV$_{I,X,Y}$",0.006761028794780339
1000,CIV$_{I}$,0.027129432151516152
1000,NIV$_{1 \textrm{ lag}}$,0.09339355456229403
1000,NIV$_{3 \textrm{ lags}}$,0.0017357086760195189
10000,"CIV$_{I,X,Y}$",0.0006558073583957287
10000,CIV$_{I}$,0.0035205337042261706
10000,NIV$_{1 \textrm{ lag}}$,0.0003752627359892537
10000,NIV$_{3 \textrm{ lags}}$,0.0001337981270347413
100,"CIV$_{I,X,Y}$",0.20640630139884708
100,CIV$_{I}$,0.13360017161840815
100,NIV$_{1 \textrm{ lag}}$,204.66080336387327
100,NIV$_{3 \textrm{ lags}}$,0.0555830364106763
1000,"CIV$_{I,X,Y}$",0.0037191500766546723
1000,CIV$_{I}$,0.007899747105968238
1000,NIV$_{1 \textrm{ lag}}$,0.010793285075329919
1000,NIV$_{3 \textrm{ lags}}$,0.0021470683893210834
10000,"CIV$_{I,X,Y}$",0.0005711373961651174
10000,CIV$_{I}$,0.0009090878399629357
10000,NIV$_{1 \textrm{ lag}}$,0.00047276620234527525
10000,NIV$_{3 \textrm{ lags}}$,0.0002744874748136923
100,"CIV$_{I,X,Y}$",0.02761824229575996
100,CIV$_{I}$,0.12667146903289764
100,NIV$_{1 \textrm{ lag}}$,0.5239711279861922
100,NIV$_{3 \textrm{ lags}}$,0.016776390625374473
1000,"CIV$_{I,X,Y}$",0.003403959884355532
1000,CIV$_{I}$,0.01879124380976126
1000,NIV$_{1 \textrm{ lag}}$,0.012978978488149459
1000,NIV$_{3 \textrm{ lags}}$,0.0017572374692261122
10000,"CIV$_{I,X,Y}$",0.0005393191010937021
10000,CIV$_{I}$,0.001418240500077487
10000,NIV$_{1 \textrm{ lag}}$,0.00025593467032342544
10000,NIV$_{3 \textrm{ lags}}$,0.00012670201786506226
100,"CIV$_{I,X,Y}$",0.08520384081273273
100,CIV$_{I}$,0.09566617588033928
100,NIV$_{1 \textrm{ lag}}$,0.05558919308365636
100,NIV$_{3 \textrm{ lags}}$,0.0908795004173967
