n,method,error
100,NIV$_{3 \textrm{ lags}}$,0.04214231571152334
1000,"CIV$_{I,X,Y}$",0.004214415172220507
1000,CIV$_{I}$,0.08123801379601445
1000,NIV$_{1 \textrm{ lag}}$,6.581479479996848
1000,NIV$_{3 \textrm{ lags}}$,0.002893251709077849
10000,"CIV$_{I,X,Y}$",0.0008606378042715394
10000,CIV$_{I}$,0.016563970873346462
10000,NIV$_{1 \textrm{ lag}}$,0.0016394911461280967
10000,NIV$_{3 \textrm{ lags}}$,0.00034378142077813535
100,"CIV$_{I,X,Y}$",0.2880204646580581
100,CIV$_{I}$,0.5576695050444693
100,NIV$_{1 \textrm{ lag}}$,2.412704679728205
100,NIV$_{3 \textrm{ lags}}$,0.01719127732291307
1000,"CIV$_{I,X,Y}$",0.004456222187799514
1000,CIV$_{I}$,0.003722717326427552
1000,NIV$_{1 \textrm{ lag}}$,0.0042292492402656225
1000,NIV$_{3 \textrm{ lags}}$,0.0011535281752479485
10000,"CIV$_{I,X,Y}$",0.00037864110655235085
10000,CIV$_{I}$,0.0005407472517603219
10000,NIV$_{1 \textrm{ lag}}$,0.000718509330395674
10000,NIV$_{3 \textrm{ lags}}$,0.00019746305263070927
100,"CIV$_{I,X,Y}$",0.08988765512497429
100,CIV$_{I}$,0.17783618858827438
100,NIV$_{1 \textrm{ lag}}$,0.059637784648500246
100,NIV$_{3 \textrm{ lags}}$,0.016959857840085163
1000,"CIV$_{I,X,Y}$",0.006080894343570018
1000,CIV$_{I}$,0.0051915001043490215
1000,NIV$_{1 \textrm{ lag}}$,0.0019130031286583899
1000,NIV$_{3 \textrm{ lags}}$,0.0012491030058644306
10000,"CIV$_{I,X,Y}$",0.0011122198416701715
10000,CIV$_{I}$,0.001093957152876894
10000,NIV$_{1 \textrm{ lag}}$,0.00028100239255108477
10000,NIV$_{3 \textrm{ lags}}$,7.903621645865083e-05
100,"CIV$_{I,X,Y}$",0.05258415691017511
100,CIV$_{I}$,0.0663175805720173
100,NIV$_{1 \textrm{ lag}}$,0.32759586632633686
100,NIV$_{3 \textrm{ lags}}$,0.02377132532166982
1000,"CIV$_{I,X,Y}$",0.0017078291456918547
1000,CIV$_{I}$,0.0025471408290675666
1000,NIV$_{1 \textrm{ lag}}$,0.00801858970354453
1000,NIV$_{3 \textrm{ lags}}$,0.001983670953622338
10000,"CIV$_{I,X,Y}$",0.000273791539144987
10000,CIV$_{I}$,0.00034710850429852937
10000,NIV$_{1 \textrm{ lag}}$,0.0005665552395259966
10000,NIV$_{3 \textrm{ lags}}$,0.0002750232154269792
100,"CIV$_{I,X,Y}$",0.046343290505612894
100,CIV$_{I}$,3.5286777249580035
100,NIV$_{1 \textrm{ lag}}$,0.023864716391298564
100,NIV$_{3 \textrm{ lags}}$,0.009031420626798228
1000,"CIV$_{I,X,Y}$",0.004046429599955356
1000,CIV$_{I}$,0.08620530171675234
1000,NIV$_{1 \textrm{ lag}}$,0.001977261851408305
1000,NIV$_{3 \textrm{ lags}}$,0.001061403987333434
10000,"CIV$_{I,X,Y}$",0.000533720693084406
10000,CIV$_{I}$,0.023442754521943172
10000,NIV$_{1 \textrm{ lag}}$,0.0001166630325387487
10000,NIV$_{3 \textrm{ lags}}$,7.329857492525495e-05
100,"CIV$_{I,X,Y}$",0.1308362231989698
100,CIV$_{I}$,0.3639255418909745
100,NIV$_{1 \textrm{ lag}}$,0.47622400292437295
100,NIV$_{3 \textrm{ lags}}$,0.04666678327834324
1000,"CIV$_{I,X,Y}$",0.015240768327788335
1000,CIV$_{I}$,0.03281712290572152
1000,NIV$_{1 \textrm{ lag}}$,0.006818365330488167
1000,NIV$_{3 \textrm{ lags}}$,0.003370946070970582
10000,"CIV$_{I,X,Y}$",0.0016179303041387004
10000,CIV$_{I}$,0.0029329744293925056
10000,NIV$_{1 \textrm{ lag}}$,0.0005599465171220116
10000,NIV$_{3 \textrm{ lags}}$,0.00036776949103759453
100,"CIV$_{I,X,Y}$",0.04239247006842189
100,CIV$_{I}$,1.3745524092250068
100,NIV$_{1 \textrm{ lag}}$,0.14017997921247582
100,NIV$_{3 \textrm{ lags}}$,0.00347573830613034
1000,"CIV$_{I,X,Y}$",0.0027517085060144845
1000,CIV$_{I}$,0.07680407101805212
1000,NIV$_{1 \textrm{ lag}}$,0.0005738795904409787
1000,NIV$_{3 \textrm{ lags}}$,0.00035532559682112944
10000,"CIV$_{I,X,Y}$",0.0007414920579883369
10000,CIV$_{I}$,0.010978732802449756
10000,NIV$_{1 \textrm{ lag}}$,0.00010967054815409487
10000,NIV$_{3 \textrm{ lags}}$,5.7584749392763924e-05
100,"CIV$_{I,X,Y}$",0.04340800309937637
100,CIV$_{I}$,0.10375024797992123
100,NIV$_{1 \textrm{ lag}}$,1.696349067915542
100,NIV$_{3 \textrm{ lags}}$,0.11013772879323347
1000,"CIV$_{I,X,Y}$",0.0035891813876542124
1000,CIV$_{I}$,0.008164441914050458
1000,NIV$_{1 \textrm{ lag}}$,0.0024622335962493475
1000,NIV$_{3 \textrm{ lags}}$,0.0024825656499553863
10000,"CIV$_{I,X,Y}$",0.0004864155349952332
10000,CIV$_{I}$,0.001435438216451834
10000,NIV$_{1 \textrm{ lag}}$,0.00065090707065598
10000,NIV$_{3 \textrm{ lags}}$,0.00021844081052354924
100,"CIV$_{I,X,Y}$",0.02380306393616145
100,CIV$_{I}$,0.2197758265925076
100,NIV$_{1 \textrm{ lag}}$,0.16653794066991112
100,NIV$_{3 \textrm{ lags}}$,0.04516385380446293
1000,"CIV$_{I,X,Y}$",0.0030049578127270635
1000,CIV$_{I}$,0.014270555048688719
1000,NIV$_{1 \textrm{ lag}}$,0.010984633045657067
1000,NIV$_{3 \textrm{ lags}}$,0.0044514380387649525
10000,"CIV$_{I,X,Y}$",0.0003180952175391211
10000,CIV$_{I}$,0.00325699515623576
10000,NIV$_{1 \textrm{ lag}}$,0.0008149072365779379
10000,NIV$_{3 \textrm{ lags}}$,0.00038210777715880125
100,"CIV$_{I,X,Y}$",0.06612102818403398
100,CIV$_{I}$,0.08748778296048308
100,NIV$_{1 \textrm{ lag}}$,0.019942495227439714
100,NIV$_{3 \textrm{ lags}}$,0.028474894498452315
1000,"CIV$_{I,X,Y}$",0.0046385949705684635
1000,CIV$_{I}$,0.00469094166156152
1000,NIV$_{1 \textrm{ lag}}$,0.004678921148050432
1000,NIV$_{3 \textrm{ lags}}$,0.003090505880784552
10000,"CIV$_{I,X,Y}$",0.0006819777924422405
10000,CIV$_{I}$,0.0006516791277555076
10000,NIV$_{1 \textrm{ lag}}$,0.0006046904916227172
10000,NIV$_{3 \textrm{ lags}}$,0.0003121265880401318
100,"CIV$_{I,X,Y}$",0.043231776350447414
100,CIV$_{I}$,0.0951602257910374
100,NIV$_{1 \textrm{ lag}}$,16.984781918499376
100,NIV$_{3 \textrm{ lags}}$,0.022409536406052703
1000,"CIV$_{I,X,Y}$",0.0028215396786845587
1000,CIV$_{I}$,0.0035786893826609796
1000,NIV$_{1 \textrm{ lag}}$,0.03145197574322879
1000,NIV$_{3 \textrm{ lags}}$,0.0016231368235181836
10000,"CIV$_{I,X,Y}$",0.0003574600450334068
10000,CIV$_{I}$,0.000564254178879903
10000,NIV$_{1 \textrm{ lag}}$,0.010265515956141254
10000,NIV$_{3 \textrm{ lags}}$,0.0002657357594033138
100,"CIV$_{I,X,Y}$",0.05132103056767
100,CIV$_{I}$,0.11446827199148608
100,NIV$_{1 \textrm{ lag}}$,0.1004712419224163
100,NIV$_{3 \textrm{ lags}}$,0.011575942121880354
1000,"CIV$_{I,X,Y}$",0.0041339694734767824
1000,CIV$_{I}$,0.007166217046506773
1000,NIV$_{1 \textrm{ lag}}$,0.24733269806049712
1000,NIV$_{3 \textrm{ lags}}$,0.0008088673720184272
10000,"CIV$_{I,X,Y}$",0.0003447795897282851
10000,CIV$_{I}$,0.0007818556214668918
10000,NIV$_{1 \textrm{ lag}}$,0.0015521985893874666
10000,NIV$_{3 \textrm{ lags}}$,4.6039155845255386e-05
100,"CIV$_{I,X,Y}$",0.10372471339209735
100,CIV$_{I}$,0.16390634105957796
100,NIV$_{1 \textrm{ lag}}$,3.715552224828579
100,NIV$_{3 \textrm{ lags}}$,0.036370853562981725
1000,"CIV$_{I,X,Y}$",0.009043726177989004
1000,CIV$_{I}$,0.012324286231349034
1000,NIV$_{1 \textrm{ lag}}$,0.03682819232487279
1000,NIV$_{3 \textrm{ lags}}$,0.0023996622589340854
10000,"CIV$_{I,X,Y}$",0.0007664587002340213
10000,CIV$_{I}$,0.0009943721436701885
10000,NIV$_{1 \textrm{ lag}}$,0.0006594382449022003
10000,NIV$_{3 \textrm{ lags}}$,0.00016483260719017304
100,"CIV$_{I,X,Y}$",0.07690606313889989
100,CIV$_{I}$,4.73380764507754
100,NIV$_{1 \textrm{ lag}}$,0.08304890821476549
100,NIV$_{3 \textrm{ lags}}$,0.028606564905608495
1000,"CIV$_{I,X,Y}$",0.007232014239306063
1000,CIV$_{I}$,0.014389896725303752
1000,NIV$_{1 \textrm{ lag}}$,0.0019485156086403172
1000,NIV$_{3 \textrm{ lags}}$,0.0019628200123465002
10000,"CIV$_{I,X,Y}$",0.0009459614262658402
10000,CIV$_{I}$,0.002467411870670772
10000,NIV$_{1 \textrm{ lag}}$,0.0003864017750480176
10000,NIV$_{3 \textrm{ lags}}$,8.626069193260406e-05
100,"CIV$_{I,X,Y}$",0.031605890299433434
100,CIV$_{I}$,0.04775572315998881
100,NIV$_{1 \textrm{ lag}}$,1.2731603824402606
100,NIV$_{3 \textrm{ lags}}$,0.021177475826778747
1000,"CIV$_{I,X,Y}$",0.0025560557317157
1000,CIV$_{I}$,0.004847931112669557
1000,NIV$_{1 \textrm{ lag}}$,0.3280200781298788
1000,NIV$_{3 \textrm{ lags}}$,0.0012395764511196762
10000,"CIV$_{I,X,Y}$",0.000637978587528871
10000,CIV$_{I}$,0.0010862448574161052
10000,NIV$_{1 \textrm{ lag}}$,0.003548214445028965
10000,NIV$_{3 \textrm{ lags}}$,0.0001648688042695197
100,"CIV$_{I,X,Y}$",0.024659586446970812
100,CIV$_{I}$,0.052836753559044894
100,NIV$_{1 \textrm{ lag}}$,0.14291726466185006
100,NIV$_{3 \textrm{ lags}}$,0.01525760342687264
1000,"CIV$_{I,X,Y}$",0.0035709243132005285
1000,CIV$_{I}$,0.005250871348364771
1000,NIV$_{1 \textrm{ lag}}$,0.08409571537380815
1000,NIV$_{3 \textrm{ lags}}$,0.0038551854188057432
10000,"CIV$_{I,X,Y}$",0.00020461154754032417
10000,CIV$_{I}$,0.000620302083328185
10000,NIV$_{1 \textrm{ lag}}$,0.00638474568082646
10000,NIV$_{3 \textrm{ lags}}$,0.0002162337755768701
100,"CIV$_{I,X,Y}$",2.4152187268187815
100,CIV$_{I}$,1.973704982579547
100,NIV$_{1 \textrm{ lag}}$,0.8689096774800543
100,NIV$_{3 \textrm{ lags}}$,0.028278106209759325
1000,"CIV$_{I,X,Y}$",0.48518628629899574
1000,CIV$_{I}$,0.13753885377388797
1000,NIV$_{1 \textrm{ lag}}$,0.011748297676386632
1000,NIV$_{3 \textrm{ lags}}$,0.0035445345429626464
10000,"CIV$_{I,X,Y}$",0.01260849916979559
10000,CIV$_{I}$,0.49059467162168796
10000,NIV$_{1 \textrm{ lag}}$,0.0022472287002641713
10000,NIV$_{3 \textrm{ lags}}$,0.0003947723030406046
100,"CIV$_{I,X,Y}$",0.04406087838326692
100,CIV$_{I}$,0.44257420467965874
100,NIV$_{1 \textrm{ lag}}$,0.707378817647136
100,NIV$_{3 \textrm{ lags}}$,0.03428088775066778
1000,"CIV$_{I,X,Y}$",0.0020992172325768467
1000,CIV$_{I}$,0.008822259520938004
1000,NIV$_{1 \textrm{ lag}}$,0.0035866905325190124
1000,NIV$_{3 \textrm{ lags}}$,0.0014753375961367179
10000,"CIV$_{I,X,Y}$",0.00020309949271231877
10000,CIV$_{I}$,0.0007518326015812619
10000,NIV$_{1 \textrm{ lag}}$,0.00014607793727179578
10000,NIV$_{3 \textrm{ lags}}$,7.083766504513241e-05
100,"CIV$_{I,X,Y}$",0.2837940028056044
100,CIV$_{I}$,0.5552350917532473
100,NIV$_{1 \textrm{ lag}}$,4.607860307039941
100,NIV$_{3 \textrm{ lags}}$,0.04390944407689169
1000,"CIV$_{I,X,Y}$",0.025167794147982047
1000,CIV$_{I}$,0.07442611920801179
1000,NIV$_{1 \textrm{ lag}}$,0.020892793746702006
1000,NIV$_{3 \textrm{ lags}}$,0.008451936317966733
10000,"CIV$_{I,X,Y}$",0.0021893904112908237
10000,CIV$_{I}$,0.004467340750797035
10000,NIV$_{1 \textrm{ lag}}$,0.0017143428294315883
10000,NIV$_{3 \textrm{ lags}}$,0.0019043299568152904
100,"CIV$_{I,X,Y}$",0.1443701084730457
100,CIV$_{I}$,0.25412938171752875
100,NIV$_{1 \textrm{ lag}}$,0.3910678990995392
100,NIV$_{3 \textrm{ lags}}$,0.02285382029460085
1000,"CIV$_{I,X,Y}$",0.00747000368783074
1000,CIV$_{I}$,0.02951110773397267
1000,NIV$_{1 \textrm{ lag}}$,0.05287608552187558
1000,NIV$_{3 \textrm{ lags}}$,0.0010497677728068735
10000,"CIV$_{I,X,Y}$",0.0003160139012792187
10000,CIV$_{I}$,0.0033370109261088576
10000,NIV$_{1 \textrm{ lag}}$,0.0004742216642848377
10000,NIV$_{3 \textrm{ lags}}$,6.29473487278532e-05
100,"CIV$_{I,X,Y}$",0.01619021027131958
100,CIV$_{I}$,0.07617645114539398
100,NIV$_{1 \textrm{ lag}}$,2.9299285314454693
100,NIV$_{3 \textrm{ lags}}$,0.004749688441529381
1000,"CIV$_{I,X,Y}$",0.0027290778158729876
1000,CIV$_{I}$,0.01017580264215264
1000,NIV$_{1 \textrm{ lag}}$,0.24981404332126816
1000,NIV$_{3 \textrm{ lags}}$,0.0006129972739105677
10000,"CIV$_{I,X,Y}$",0.00022232244573668295
10000,CIV$_{I}$,0.0013972763061655467
10000,NIV$_{1 \textrm{ lag}}$,0.12418943432259825
10000,NIV$_{3 \textrm{ lags}}$,0.0001245973174881975
100,"CIV$_{I,X,Y}$",0.10655841348622497
100,CIV$_{I}$,1.2378157165396741
100,NIV$_{1 \textrm{ lag}}$,2.0410227530801013
100,NIV$_{3 \textrm{ lags}}$,0.015294244096185534
1000,"CIV$_{I,X,Y}$",0.020726567903924777
1000,CIV$_{I}$,0.2530162888086516
1000,NIV$_{1 \textrm{ lag}}$,0.006038164026334898
1000,NIV$_{3 \textrm{ lags}}$,0.001978257794032054
10000,"CIV$_{I,X,Y}$",0.0016955168955461223
10000,CIV$_{I}$,0.020854322976210503
10000,NIV$_{1 \textrm{ lag}}$,0.001327249338815989
10000,NIV$_{3 \textrm{ lags}}$,0.0001395646425702598
100,"CIV$_{I,X,Y}$",0.20901814930033144
100,CIV$_{I}$,0.5445810386658911
100,NIV$_{1 \textrm{ lag}}$,0.10772717978392703
100,NIV$_{3 \textrm{ lags}}$,0.02926443225458969
1000,"CIV$_{I,X,Y}$",0.004227845499677957
1000,CIV$_{I}$,0.010226181136361968
1000,NIV$_{1 \textrm{ lag}}$,0.01821578315521532
1000,NIV$_{3 \textrm{ lags}}$,0.0075435123798264685
10000,"CIV$_{I,X,Y}$",0.0005555655331554304
10000,CIV$_{I}$,0.0006975741913691671
10000,NIV$_{1 \textrm{ lag}}$,0.000534412878490698
10000,NIV$_{3 \textrm{ lags}}$,0.0003661084699698096
100,"CIV$_{I,X,Y}$",0.10835926435189751
100,CIV$_{I}$,0.20565853618455315
100,NIV$_{1 \textrm{ lag}}$,0.031073422497414394
100,NIV$_{3 \textrm{ lags}}$,0.009371541045651093
1000,"CIV$_{I,X,Y}$",0.008465929802474074
1000,CIV$_{I}$,0.007240973640211863
1000,NIV$_{1 \textrm{ lag}}$,0.0018831971733299045
1000,NIV$_{3 \textrm{ lags}}$,0.002817242433003634
10000,"CIV$_{I,X,Y}$",0.0006447880169475301
10000,CIV$_{I}$,0.000420763190865284
10000,NIV$_{1 \textrm{ lag}}$,0.00018071028533000148
10000,NIV$_{3 \textrm{ lags}}$,0.0002110430314814547
100,"CIV$_{I,X,Y}$",0.08468082886028747
100,CIV$_{I}$,0.11823925491903449
100,NIV$_{1 \textrm{ lag}}$,9.806028955603797
100,NIV$_{3 \textrm{ lags}}$,0.07395797749661376
1000,"CIV$_{I,X,Y}$",0.0035417032802604704
1000,CIV$_{I}$,0.02280367796261602
1000,NIV$_{1 \textrm{ lag}}$,0.00662977597809433
1000,NIV$_{3 \textrm{ lags}}$,0.004209150977073342
10000,"CIV$_{I,X,Y}$",0.0005767445284607154
10000,CIV$_{I}$,0.0017333907882328338
10000,NIV$_{1 \textrm{ lag}}$,0.0009354084730398823
10000,NIV$_{3 \textrm{ lags}}$,0.00037350933905989475
100,"CIV$_{I,X,Y}$",0.283494077252627
100,CIV$_{I}$,0.16401414291024724
100,NIV$_{1 \textrm{ lag}}$,0.04070185644868683
100,NIV$_{3 \textrm{ lags}}$,0.09889132523949624
1000,"CIV$_{I,X,Y}$",0.012710009415692659
1000,CIV$_{I}$,0.022881017709241024
1000,NIV$_{1 \textrm{ lag}}$,0.0020197812582882597
1000,NIV$_{3 \textrm{ lags}}$,0.001981270561329377
10000,"CIV$_{I,X,Y}$",0.0004727589478637651
10000,CIV$_{I}$,0.0010325543774535712
10000,NIV$_{1 \textrm{ lag}}$,0.0008305668174704957
10000,NIV$_{3 \textrm{ lags}}$,0.00019278309005412524
100,"CIV$_{I,X,Y}$",0.07290074481489875
100,CIV$_{I}$,0.39173969176814616
100,NIV$_{1 \textrm{ lag}}$,0.10201548001057101
100,NIV$_{3 \textrm{ lags}}$,0.03215815086619959
1000,"CIV$_{I,X,Y}$",0.005876759877159639
1000,CIV$_{I}$,0.22046899248742063
1000,NIV$_{1 \textrm{ lag}}$,0.010323058649346278
1000,NIV$_{3 \textrm{ lags}}$,0.0027678498364556207
10000,"CIV$_{I,X,Y}$",0.000589280353653991
10000,CIV$_{I}$,0.006837839595442452
10000,NIV$_{1 \textrm{ lag}}$,0.0007677779157563728
10000,NIV$_{3 \textrm{ lags}}$,0.0002641119727025467
100,"CIV$_{I,X,Y}$",0.048608213425795146
100,CIV$_{I}$,0.050224293523909225
100,NIV$_{1 \textrm{ lag}}$,0.704736700066257
100,NIV$_{3 \textrm{ lags}}$,0.01609566281348814
1000,"CIV$_{I,X,Y}$",0.002838042740188528
1000,CIV$_{I}$,0.004014380866415158
1000,NIV$_{1 \textrm{ lag}}$,0.029772687705291186
1000,NIV$_{3 \textrm{ lags}}$,0.001510395741288876
10000,"CIV$_{I,X,Y}$",0.0003591762243524567
10000,CIV$_{I}$,0.000313381927675544
10000,NIV$_{1 \textrm{ lag}}$,0.001892544232404756
10000,NIV$_{3 \textrm{ lags}}$,6.587433879221703e-05
100,"CIV$_{I,X,Y}$",0.05480482087233094
100,CIV$_{I}$,6.064009410993682
100,NIV$_{1 \textrm{ lag}}$,0.1059717690172131
100,NIV$_{3 \textrm{ lags}}$,0.006779850334238539
1000,"CIV$_{I,X,Y}$",0.008266237362494143
1000,CIV$_{I}$,0.5176828064941102
1000,NIV$_{1 \textrm{ lag}}$,0.004796473558498265
1000,NIV$_{3 \textrm{ lags}}$,0.0005202866144364533
10000,"CIV$_{I,X,Y}$",0.0005303976161793372
10000,CIV$_{I}$,0.050277363599184645
10000,NIV$_{1 \textrm{ lag}}$,7.549308478792384e-05
10000,NIV$_{3 \textrm{ lags}}$,7.684909244996279e-05
100,"CIV$_{I,X,Y}$",0.1671477377119134
100,CIV$_{I}$,0.16901182884730823
100,NIV$_{1 \textrm{ lag}}$,0.107374403382367
100,NIV$_{3 \textrm{ lags}}$,0.026485612621616396
1000,"CIV$_{I,X,Y}$",0.010270258152554538
1000,CIV$_{I}$,0.018438824034392915
1000,NIV$_{1 \textrm{ lag}}$,0.003105119183012625
1000,NIV$_{3 \textrm{ lags}}$,0.002633233278187608
10000,"CIV$_{I,X,Y}$",0.0007844238730796984
10000,CIV$_{I}$,0.0013179844429911812
10000,NIV$_{1 \textrm{ lag}}$,0.00017333990079626413
10000,NIV$_{3 \textrm{ lags}}$,0.00023311535424462492
100,"CIV$_{I,X,Y}$",0.09227187249318758
100,CIV$_{I}$,0.11890510839148605
100,NIV$_{1 \textrm{ lag}}$,0.1629294978849817
100,NIV$_{3 \textrm{ lags}}$,0.03546930273274127
1000,"CIV$_{I,X,Y}$",0.006172623582519741
1000,CIV$_{I}$,0.00795773435617102
1000,NIV$_{1 \textrm{ lag}}$,0.005472266509210413
1000,NIV$_{3 \textrm{ lags}}$,0.0008521795677114985
10000,"CIV$_{I,X,Y}$",0.000805772070833792
10000,CIV$_{I}$,0.0009177293732194599
10000,NIV$_{1 \textrm{ lag}}$,0.0006372917414002319
10000,NIV$_{3 \textrm{ lags}}$,0.00026978796887283494
100,"CIV$_{I,X,Y}$",0.06692302588561402
100,CIV$_{I}$,0.0441822166296091
100,NIV$_{1 \textrm{ lag}}$,0.02911478210738001
100,NIV$_{3 \textrm{ lags}}$,0.04262973775501579
1000,"CIV$_{I,X,Y}$",0.004803989206582066
1000,CIV$_{I}$,0.005650039851573191
1000,NIV$_{1 \textrm{ lag}}$,0.004627672653220018
1000,NIV$_{3 \textrm{ lags}}$,0.0032869342916883753
10000,"CIV$_{I,X,Y}$",0.0003920628622501434
10000,CIV$_{I}$,0.0003962926932229653
10000,NIV$_{1 \textrm{ lag}}$,0.00020713317923837723
10000,NIV$_{3 \textrm{ lags}}$,0.0002320110756944012
100,"CIV$_{I,X,Y}$",0.11145159701991725
100,CIV$_{I}$,0.1694764732973221
100,NIV$_{1 \textrm{ lag}}$,0.11794051764992353
100,NIV$_{3 \textrm{ lags}}$,0.02477902826860991
1000,"CIV$_{I,X,Y}$",0.00894820518132254
1000,CIV$_{I}$,0.01084836011667464
1000,NIV$_{1 \textrm{ lag}}$,0.004275462547140028
1000,NIV$_{3 \textrm{ lags}}$,0.0026357507912394547
10000,"CIV$_{I,X,Y}$",0.0016588844687205257
10000,CIV$_{I}$,0.0019032517694698686
10000,NIV$_{1 \textrm{ lag}}$,0.0010872607373576169
10000,NIV$_{3 \textrm{ lags}}$,0.00010510062456376081
100,"CIV$_{I,X,Y}$",0.09095753537385416
100,CIV$_{I}$,0.5919331136933013
100,NIV$_{1 \textrm{ lag}}$,0.04016334716697585
100,NIV$_{3 \textrm{ lags}}$,0.035206063530475395
1000,"CIV$_{I,X,Y}$",0.016153521687768072
1000,CIV$_{I}$,0.05030793952140835
1000,NIV$_{1 \textrm{ lag}}$,0.004055204600307871
1000,NIV$_{3 \textrm{ lags}}$,0.0011793699380831235
10000,"CIV$_{I,X,Y}$",0.0005998589225242707
10000,CIV$_{I}$,0.0019036010020930395
10000,NIV$_{1 \textrm{ lag}}$,0.0002798543933316301
10000,NIV$_{3 \textrm{ lags}}$,0.00023338280035894838
100,"CIV$_{I,X,Y}$",0.13503055661680155
100,CIV$_{I}$,0.635240349245831
100,NIV$_{1 \textrm{ lag}}$,0.13428576192591862
100,NIV$_{3 \textrm{ lags}}$,0.016055077468820712
1000,"CIV$_{I,X,Y}$",0.007055212137361347
1000,CIV$_{I}$,0.029317535844557728
1000,NIV$_{1 \textrm{ lag}}$,0.0029757464403698205
1000,NIV$_{3 \textrm{ lags}}$,0.0016898013357362963
10000,"CIV$_{I,X,Y}$",0.001099815379579184
10000,CIV$_{I}$,0.0025079382989994297
10000,NIV$_{1 \textrm{ lag}}$,0.00032232499533987717
10000,NIV$_{3 \textrm{ lags}}$,0.00016081673532782647
100,"CIV$_{I,X,Y}$",0.03280181273457113
100,CIV$_{I}$,0.11553956032673776
100,NIV$_{1 \textrm{ lag}}$,0.07779939796424944
100,NIV$_{3 \textrm{ lags}}$,0.0385088435234768
1000,"CIV$_{I,X,Y}$",0.007307095901947681
1000,CIV$_{I}$,0.012871198338201346
1000,NIV$_{1 \textrm{ lag}}$,0.009559107666812608
1000,NIV$_{3 \textrm{ lags}}$,0.002764128942652512
10000,"CIV$_{I,X,Y}$",0.0008766060078056215
10000,CIV$_{I}$,0.001001943595259952
10000,NIV$_{1 \textrm{ lag}}$,0.0007727524932113949
10000,NIV$_{3 \textrm{ lags}}$,0.00019631466095024127
100,"CIV$_{I,X,Y}$",0.22034671196467634
100,CIV$_{I}$,1.0869199021343197
100,NIV$_{1 \textrm{ lag}}$,2.784068960410141
100,NIV$_{3 \textrm{ lags}}$,0.011658538428372335
1000,"CIV$_{I,X,Y}$",0.026877067750088173
1000,CIV$_{I}$,0.10736271771104536
1000,NIV$_{1 \textrm{ lag}}$,0.06740296386960751
1000,NIV$_{3 \textrm{ lags}}$,0.0009615455502742603
10000,"CIV$_{I,X,Y}$",0.0026722837397239485
10000,CIV$_{I}$,0.0173368411031716
10000,NIV$_{1 \textrm{ lag}}$,0.004186397207615879
10000,NIV$_{3 \textrm{ lags}}$,0.00011506949148129791
100,"CIV$_{I,X,Y}$",0.04245100076075646
100,CIV$_{I}$,0.11411389927551696
100,NIV$_{1 \textrm{ lag}}$,0.04161045296252512
100,NIV$_{3 \textrm{ lags}}$,0.018493586549858786
1000,"CIV$_{I,X,Y}$",0.00836155758221147
1000,CIV$_{I}$,0.010698915824454345
1000,NIV$_{1 \textrm{ lag}}$,0.013149929404846928
1000,NIV$_{3 \textrm{ lags}}$,0.002927586545681
10000,"CIV$_{I,X,Y}$",0.0005223179213413344
10000,CIV$_{I}$,0.0011376259260607042
10000,NIV$_{1 \textrm{ lag}}$,0.0006329501856466123
10000,NIV$_{3 \textrm{ lags}}$,0.00012414570847771433
100,"CIV$_{I,X,Y}$",0.042245271419110976
100,CIV$_{I}$,0.07077543992413536
100,NIV$_{1 \textrm{ lag}}$,0.016326724684016403
100,NIV$_{3 \textrm{ lags}}$,0.023963908820987246
1000,"CIV$_{I,X,Y}$",0.0028455163744083418
1000,CIV$_{I}$,0.00918473540186957
1000,NIV$_{1 \textrm{ lag}}$,0.0017944755082962122
1000,NIV$_{3 \textrm{ lags}}$,0.001223779952478403
10000,"CIV$_{I,X,Y}$",0.00019941172515298297
10000,CIV$_{I}$,0.0005099182693521168
10000,NIV$_{1 \textrm{ lag}}$,0.00018248290736322568
10000,NIV$_{3 \textrm{ lags}}$,0.00010474290225233004
100,"CIV$_{I,X,Y}$",0.02140222024491107
100,CIV$_{I}$,0.04059204923935822
100,NIV$_{1 \textrm{ lag}}$,0.033374543064634735
100,NIV$_{3 \textrm{ lags}}$,0.04025805459801814
1000,"CIV$_{I,X,Y}$",0.0018865078307883465
1000,CIV$_{I}$,0.0016117365592703016
1000,NIV$_{1 \textrm{ lag}}$,0.0010095453619723093
1000,NIV$_{3 \textrm{ lags}}$,0.0011165659050404774
10000,"CIV$_{I,X,Y}$",0.00028061788512064717
10000,CIV$_{I}$,0.00027792121769631837
10000,NIV$_{1 \textrm{ lag}}$,0.00013105116145985986
10000,NIV$_{3 \textrm{ lags}}$,8.18944422440521e-05
100,"CIV$_{I,X,Y}$",0.37240397908494594
100,CIV$_{I}$,0.5619575233501576
100,NIV$_{1 \textrm{ lag}}$,9.103701003685483
100,NIV$_{3 \textrm{ lags}}$,0.169613334455541
1000,"CIV$_{I,X,Y}$",0.01068938544140701
1000,CIV$_{I}$,0.026776489112170437
1000,NIV$_{1 \textrm{ lag}}$,0.053381402075357874
1000,NIV$_{3 \textrm{ lags}}$,0.012967569400030193
10000,"CIV$_{I,X,Y}$",0.002518831025378737
10000,CIV$_{I}$,0.005716728415614809
10000,NIV$_{1 \textrm{ lag}}$,0.002118331760463976
10000,NIV$_{3 \textrm{ lags}}$,0.0009380304579800613
100,"CIV$_{I,X,Y}$",0.2056531282109368
