delta,n,method,error
1.0,1000,TS-NIV,0.1391403135316191
1.0,5000,TS-NIV,0.11408280449690174
1.0,10000,TS-NIV,0.004220949404948914
1.0,50000,TS-NIV,0.004915511406341158
0.0,100,TS-NIV,0.04060395882844045
0.0,500,TS-NIV,0.20632562138740093
0.0,1000,TS-NIV,38.25831591913348
0.0,5000,TS-NIV,4.782712453602703
0.0,10000,TS-NIV,0.19152575928876545
0.0,50000,TS-NIV,0.2819081761000499
0.01,100,TS-NIV,5.706031844541318
0.01,500,TS-NIV,0.08821426140725036
0.01,1000,TS-NIV,14.00767614026289
0.01,5000,TS-NIV,278.2321540827223
0.01,10000,TS-NIV,8.51240671890339
0.01,50000,TS-NIV,5.939793185061549
0.1,100,TS-NIV,101.05527637629493
0.1,500,TS-NIV,0.15568218675846757
0.1,1000,TS-NIV,0.13165740646373025
0.1,5000,TS-NIV,0.07125546715555214
0.1,10000,TS-NIV,0.002087350503122685
0.1,50000,TS-NIV,0.0001660433558106632
0.5,100,TS-NIV,0.5380910743202783
0.5,500,TS-NIV,0.10138856099063234
0.5,1000,TS-NIV,0.003299356523492657
0.5,5000,TS-NIV,5.51721490107652
0.5,10000,TS-NIV,46.84116915593828
0.5,50000,TS-NIV,0.000393262906317522
1.0,100,TS-NIV,29.000579605504072
1.0,500,TS-NIV,0.010962585636309793
1.0,1000,TS-NIV,0.0017664717808165242
1.0,5000,TS-NIV,0.007248415766362935
1.0,10000,TS-NIV,0.002652167303514277
1.0,50000,TS-NIV,0.00026552939281872663
0.0,100,TS-NIV,3.7019784612638977
0.0,500,TS-NIV,5.382692975109476
0.0,1000,TS-NIV,0.33864397362483156
0.0,5000,TS-NIV,0.002286008466202178
0.0,10000,TS-NIV,0.06451505406704226
0.0,50000,TS-NIV,1.2622690416375604
0.01,100,TS-NIV,1.2642586709996455
0.01,500,TS-NIV,17.71212758581947
0.01,1000,TS-NIV,0.2762765534955081
0.01,5000,TS-NIV,0.08308637565092017
0.01,10000,TS-NIV,0.044910018669523065
0.01,50000,TS-NIV,7.842941235197646
0.1,100,TS-NIV,0.22434259201994358
0.1,500,TS-NIV,0.04394885463056646
0.1,1000,TS-NIV,0.056746103820705114
0.1,5000,TS-NIV,0.012024327631850396
0.1,10000,TS-NIV,0.1830644386955704
0.1,50000,TS-NIV,0.008823511764218061
0.5,100,TS-NIV,1.6619371915800436
0.5,500,TS-NIV,0.39586792801252346
0.5,1000,TS-NIV,0.016556856204457654
0.5,5000,TS-NIV,0.025799877557461378
0.5,10000,TS-NIV,0.03192904249196168
0.5,50000,TS-NIV,0.010959653471239266
1.0,100,TS-NIV,2.4922225282375052
1.0,500,TS-NIV,0.08573336522221181
1.0,1000,TS-NIV,0.347025403682937
1.0,5000,TS-NIV,2.370431055730992e-05
1.0,10000,TS-NIV,0.036456753146214195
1.0,50000,TS-NIV,0.0014823333105798342
0.0,100,TS-NIV,0.81485258810853
0.0,500,TS-NIV,0.41144531205526774
0.0,1000,TS-NIV,6783.421600076648
0.0,5000,TS-NIV,2.210138268643293
0.0,10000,TS-NIV,15.10937377857836
0.0,50000,TS-NIV,12.115498452996148
0.01,100,TS-NIV,0.6777776098881134
0.01,500,TS-NIV,1.280185975952603
0.01,1000,TS-NIV,2.8771927579941954
0.01,5000,TS-NIV,3.0776151576976307
0.01,10000,TS-NIV,0.0436155193438773
0.01,50000,TS-NIV,6.691470823215019
0.1,100,TS-NIV,7.347960163756688
0.1,500,TS-NIV,4.134368242815319
0.1,1000,TS-NIV,0.28784548674871335
0.1,5000,TS-NIV,0.35656833194483484
0.1,10000,TS-NIV,496.66842120875947
0.1,50000,TS-NIV,569.3182962513914
0.5,100,TS-NIV,12.982471698597074
0.5,500,TS-NIV,0.009083124453746278
0.5,1000,TS-NIV,0.0026526626883100904
0.5,5000,TS-NIV,0.04291528532346787
0.5,10000,TS-NIV,0.012316819958245058
0.5,50000,TS-NIV,0.0053298919857072136
1.0,100,TS-NIV,1.3980163973050392
1.0,500,TS-NIV,0.014722634816399675
1.0,1000,TS-NIV,0.08227202086063869
1.0,5000,TS-NIV,2.9332281420560857
1.0,10000,TS-NIV,0.014917823469556883
1.0,50000,TS-NIV,0.0001420735637880394
0.0,100,TS-NIV,0.5684704994300449
0.0,500,TS-NIV,0.6537263407831159
0.0,1000,TS-NIV,1.7816201952635962
0.0,5000,TS-NIV,8.146499870246913
0.0,10000,TS-NIV,23.90925511693374
0.0,50000,TS-NIV,1.2139551569501639
0.01,100,TS-NIV,22.550791694882083
0.01,500,TS-NIV,488.9106338247204
0.01,1000,TS-NIV,1.0967909962450424
0.01,5000,TS-NIV,0.6597582864221823
0.01,10000,TS-NIV,137.48688627862606
0.01,50000,TS-NIV,0.02398639894615742
0.1,100,TS-NIV,0.2485479776429957
0.1,500,TS-NIV,56.690292270281745
0.1,1000,TS-NIV,371.89712285779154
0.1,5000,TS-NIV,2.6300460356786206
0.1,10000,TS-NIV,0.05986717627859679
0.1,50000,TS-NIV,4.032820916981113
0.5,100,TS-NIV,0.7760643480440901
0.5,500,TS-NIV,4.653232664338754
0.5,1000,TS-NIV,1.2672884054616713
0.5,5000,TS-NIV,258.80867926625194
0.5,10000,TS-NIV,0.40406146372306007
0.5,50000,TS-NIV,0.12906442939564394
1.0,100,TS-NIV,0.01908146373424116
1.0,500,TS-NIV,0.02447173098948301
1.0,1000,TS-NIV,0.0010854693443074722
1.0,5000,TS-NIV,0.002932807343952214
1.0,10000,TS-NIV,6.0582795391407825e-05
1.0,50000,TS-NIV,0.0005305355393938606
0.0,100,TS-NIV,2.9788705269479125
0.0,500,TS-NIV,2.2230645528783475
0.0,1000,TS-NIV,1.2166881115166226
0.0,5000,TS-NIV,1.328698373481621
0.0,10000,TS-NIV,0.12940680046983205
0.0,50000,TS-NIV,1.3749407714865445
0.01,100,TS-NIV,5.660504393552239
0.01,500,TS-NIV,8.598933680423428
0.01,1000,TS-NIV,0.29493761561806314
0.01,5000,TS-NIV,12.474616498708873
0.01,10000,TS-NIV,201.81309291961844
0.01,50000,TS-NIV,0.036062408373299285
0.1,100,TS-NIV,0.02906106604767516
0.1,500,TS-NIV,0.7559368810942129
0.1,1000,TS-NIV,5720779.723902822
0.1,5000,TS-NIV,2.315244945986348
0.1,10000,TS-NIV,37.11424403521546
0.1,50000,TS-NIV,0.04799556387682255
0.5,100,TS-NIV,0.05178511623006165
0.5,500,TS-NIV,1.3412142511214742
0.5,1000,TS-NIV,0.0028714327718039247
0.5,5000,TS-NIV,0.0002605413145886571
0.5,10000,TS-NIV,0.010206289070329288
0.5,50000,TS-NIV,0.001224537570717159
1.0,100,TS-NIV,23.013056576772485
1.0,500,TS-NIV,0.20525258117989936
1.0,1000,TS-NIV,1.1707271734155102
1.0,5000,TS-NIV,0.565004777354763
1.0,10000,TS-NIV,0.06090270589705321
1.0,50000,TS-NIV,0.001028092250942553
0.0,100,TS-NIV,1.1691901740338992
0.0,500,TS-NIV,16.169301083549843
0.0,1000,TS-NIV,1.0542338395472086
0.0,5000,TS-NIV,0.5567229423795818
0.0,10000,TS-NIV,6.546297518537538
0.0,50000,TS-NIV,2251.324031392103
0.01,100,TS-NIV,0.05250471578643647
0.01,500,TS-NIV,0.9941381831575768
0.01,1000,TS-NIV,0.07636267501557835
0.01,5000,TS-NIV,120.66811126593147
0.01,10000,TS-NIV,0.9865881998750858
0.01,50000,TS-NIV,1.260215407212792
0.1,100,TS-NIV,0.20620451011397986
0.1,500,TS-NIV,0.22014705165888987
0.1,1000,TS-NIV,5.196405640806168
0.1,5000,TS-NIV,0.5067797491448406
0.1,10000,TS-NIV,0.017161369444943064
0.1,50000,TS-NIV,175.90377079866974
0.5,100,TS-NIV,0.2917349000262761
0.5,500,TS-NIV,0.0019396092388859084
0.5,1000,TS-NIV,0.01705836207358678
0.5,5000,TS-NIV,0.00626227042149629
0.5,10000,TS-NIV,0.0011454338978800953
0.5,50000,TS-NIV,0.0001055119708239931
1.0,100,TS-NIV,3.786765171526514
1.0,500,TS-NIV,0.6635175819025818
1.0,1000,TS-NIV,0.3311745672416645
1.0,5000,TS-NIV,0.008694609767850641
1.0,10000,TS-NIV,0.14438448458340464
1.0,50000,TS-NIV,0.0031753204815695617
0.0,100,TS-NIV,0.2526885590691325
0.0,500,TS-NIV,2.456307509702748
0.0,1000,TS-NIV,1.0491545334048131
0.0,5000,TS-NIV,0.3002004997207607
0.0,10000,TS-NIV,0.0220904758674736
0.0,50000,TS-NIV,2.4521136488611344
0.01,100,TS-NIV,0.08775809617232948
0.01,500,TS-NIV,0.3629948578610776
0.01,1000,TS-NIV,2.341214346907068
0.01,5000,TS-NIV,0.13568840225029996
0.01,10000,TS-NIV,0.39888785342460753
0.01,50000,TS-NIV,0.9540794009117336
0.1,100,TS-NIV,18.31061943679688
0.1,500,TS-NIV,10.748913592734523
0.1,1000,TS-NIV,0.401953387681997
0.1,5000,TS-NIV,2.3131786601233664
0.1,10000,TS-NIV,21.160159831457232
0.1,50000,TS-NIV,0.08539106472989913
0.5,100,TS-NIV,12.428994575257526
0.5,500,TS-NIV,0.006827185907187012
0.5,1000,TS-NIV,0.007562010179032488
0.5,5000,TS-NIV,0.003674765425739039
0.5,10000,TS-NIV,0.0010589089817060696
0.5,50000,TS-NIV,0.00022731750654679232
1.0,100,TS-NIV,2.3905976369657775
1.0,500,TS-NIV,0.08791532507848043
1.0,1000,TS-NIV,0.0016457554837847111
1.0,5000,TS-NIV,0.00011580717247615145
1.0,10000,TS-NIV,0.0032295157871614095
1.0,50000,TS-NIV,5.9874436371572065e-05
0.0,100,TS-NIV,2.3118514328407915
0.0,500,TS-NIV,0.1252353515166839
0.0,1000,TS-NIV,7.939937420097249
0.0,5000,TS-NIV,0.0005878847088270615
0.0,10000,TS-NIV,0.6662546257972912
0.0,50000,TS-NIV,6.093645149865068
0.01,100,TS-NIV,36570.15401645303
0.01,500,TS-NIV,2.459223482294612
0.01,1000,TS-NIV,0.0396855520162692
0.01,5000,TS-NIV,0.1639484106510658
0.01,10000,TS-NIV,0.8704189391966224
0.01,50000,TS-NIV,0.05492529063903512
0.1,100,TS-NIV,0.6888926337739965
0.1,500,TS-NIV,4.93653876060339
0.1,1000,TS-NIV,4.64042958207534
0.1,5000,TS-NIV,0.07873312596453992
0.1,10000,TS-NIV,0.0008345561719796562
0.1,50000,TS-NIV,0.007516158321740003
0.5,100,TS-NIV,97.39782994303872
0.5,500,TS-NIV,0.32532547761900277
0.5,1000,TS-NIV,0.05384796508049775
0.5,5000,TS-NIV,0.011022209579703044
0.5,10000,TS-NIV,0.011932175619528139
0.5,50000,TS-NIV,0.005792463542230338
1.0,100,TS-NIV,0.27155822320583245
1.0,500,TS-NIV,0.301190859601882
1.0,1000,TS-NIV,0.1911642639625653
1.0,5000,TS-NIV,0.0038258730615669655
1.0,10000,TS-NIV,0.022170332307519344
1.0,50000,TS-NIV,0.0011224366438974962
0.0,100,TS-NIV,3.837830955241697
0.0,500,TS-NIV,137.82450995434186
0.0,1000,TS-NIV,0.15146751177925463
0.0,5000,TS-NIV,0.07613469924710276
0.0,10000,TS-NIV,1.3070007108984179
0.0,50000,TS-NIV,6.704531673259269
0.01,100,TS-NIV,1826.250382290827
0.01,500,TS-NIV,1.6420315091907156
0.01,1000,TS-NIV,1.243064900658947
0.01,5000,TS-NIV,0.03605918700137833
0.01,10000,TS-NIV,1.151246976240162
0.01,50000,TS-NIV,1.2034914553891372
0.1,100,TS-NIV,176.0693363401228
0.1,500,TS-NIV,4.224239394005011
0.1,1000,TS-NIV,0.007046545708475344
0.1,5000,TS-NIV,0.25806559841228477
0.1,10000,TS-NIV,148404.4469805607
0.1,50000,TS-NIV,1.4376275789241624
0.5,100,TS-NIV,1.5988053269319968
0.5,500,TS-NIV,4.471793714536913
0.5,1000,TS-NIV,7.847993363035255
0.5,5000,TS-NIV,0.00026334643963477907
0.5,10000,TS-NIV,0.07465610400872028
0.5,50000,TS-NIV,0.10970960028365669
1.0,100,TS-NIV,223.41333395656562
1.0,500,TS-NIV,0.022333747124084802
1.0,1000,TS-NIV,0.012405925024238942
1.0,5000,TS-NIV,0.011958140228727439
1.0,10000,TS-NIV,0.0004927444466195801
1.0,50000,TS-NIV,0.0002564384669282727
0.0,100,TS-NIV,9.655520109886908
0.0,500,TS-NIV,382.8080686844416
0.0,1000,TS-NIV,0.015941954249807707
0.0,5000,TS-NIV,4.214490290327105
0.0,10000,TS-NIV,34.09163780142709
0.0,50000,TS-NIV,14.70390215100254
0.01,100,TS-NIV,4.592670760354984
0.01,500,TS-NIV,8.759186315112592
0.01,1000,TS-NIV,35.61922968426441
0.01,5000,TS-NIV,4.565956922167968
0.01,10000,TS-NIV,0.02550454544249215
0.01,50000,TS-NIV,109.21766039426753
0.1,100,TS-NIV,2.379917092113927
0.1,500,TS-NIV,0.1991784746824565
0.1,1000,TS-NIV,0.010108066574746964
0.1,5000,TS-NIV,0.12091346501315822
0.1,10000,TS-NIV,43.05695741607302
0.1,50000,TS-NIV,0.007318924447235231
0.5,100,TS-NIV,14.553406698080602
0.5,500,TS-NIV,0.017874146757535465
0.5,1000,TS-NIV,0.005789197688781599
0.5,5000,TS-NIV,0.02233280317565675
0.5,10000,TS-NIV,0.0027928750319961507
0.5,50000,TS-NIV,0.00016377080792991577
1.0,100,TS-NIV,43.26530180864961
1.0,500,TS-NIV,0.3406665599678951
1.0,1000,TS-NIV,8.10950276115989
1.0,5000,TS-NIV,3.66655817827619
1.0,10000,TS-NIV,0.00535709704253135
1.0,50000,TS-NIV,0.00623294622586127
0.0,100,TS-NIV,8.338767502306005
0.0,500,TS-NIV,0.27795583564590726
0.0,1000,TS-NIV,1.2443958946540656
0.0,5000,TS-NIV,0.8628973239155138
0.0,10000,TS-NIV,0.6968956250065479
0.0,50000,TS-NIV,0.03427187378114123
0.01,100,TS-NIV,449.7834006920709
0.01,500,TS-NIV,1.206036263147908
0.01,1000,TS-NIV,7.110604515034075
0.01,5000,TS-NIV,1.767372107203213
0.01,10000,TS-NIV,0.5193773644934786
0.01,50000,TS-NIV,0.0018683626793359442
0.1,100,TS-NIV,1.802688723021228
0.1,500,TS-NIV,10.143746208365531
0.1,1000,TS-NIV,0.02339700773202226
0.1,5000,TS-NIV,1.190890693427097
0.1,10000,TS-NIV,133.20104044192522
0.1,50000,TS-NIV,0.14447707977836052
0.5,100,TS-NIV,0.026691625425967747
0.5,500,TS-NIV,0.15300109340878734
0.5,1000,TS-NIV,0.9828544993789452
0.5,5000,TS-NIV,0.015372269955671643
0.5,10000,TS-NIV,0.10351403097059665
0.5,50000,TS-NIV,0.0022533576512573476
1.0,100,TS-NIV,1.6608388887673562
1.0,500,TS-NIV,0.008482508929584912
1.0,1000,TS-NIV,0.0073390264670243005
1.0,5000,TS-NIV,0.0018315916102539874
1.0,10000,TS-NIV,0.00038805915553588393
1.0,50000,TS-NIV,0.0004404422541519885
0.0,100,TS-NIV,0.908573611294075
0.0,500,TS-NIV,239.3580347669476
0.0,1000,TS-NIV,2.6979901813129263
0.0,5000,TS-NIV,9.156108694010472
0.0,10000,TS-NIV,0.3897836617887049
0.0,50000,TS-NIV,1.1278578074528798
0.01,100,TS-NIV,12.665353992488473
0.01,500,TS-NIV,0.47320498031582775
0.01,1000,TS-NIV,0.22855005160527528
0.01,5000,TS-NIV,0.13863613875365255
0.01,10000,TS-NIV,0.100311319890166
0.01,50000,TS-NIV,1.085233326432377
0.1,100,TS-NIV,2.815345339356198
0.1,500,TS-NIV,4552.156107395588
0.1,1000,TS-NIV,0.15698567969807858
0.1,5000,TS-NIV,0.13288707521893828
0.1,10000,TS-NIV,0.02162426893761426
0.1,50000,TS-NIV,0.00088302689468037
0.5,100,TS-NIV,0.14052908446602883
0.5,500,TS-NIV,245.49269480111153
0.5,1000,TS-NIV,0.8837129508270096
0.5,5000,TS-NIV,0.047700956454499545
0.5,10000,TS-NIV,0.009059220082178368
0.5,50000,TS-NIV,0.020956092717175974
1.0,100,TS-NIV,18.258564151617875
1.0,500,TS-NIV,0.05936322573253719
1.0,1000,TS-NIV,0.038985394520608285
1.0,5000,TS-NIV,0.0010191516587474236
1.0,10000,TS-NIV,3.4822608075919905e-05
1.0,50000,TS-NIV,1.0494175559983392e-05
0.0,100,TS-NIV,18.78280326592889
0.0,500,TS-NIV,4.038986122643272
0.0,1000,TS-NIV,0.45877445752968854
0.0,5000,TS-NIV,0.017123972208710973
0.0,10000,TS-NIV,0.0010065044120642311
0.0,50000,TS-NIV,286.78146954394253
0.01,100,TS-NIV,273.88237989297033
0.01,500,TS-NIV,162.05280819481823
0.01,1000,TS-NIV,0.025772144247236548
0.01,5000,TS-NIV,0.0948238032842788
0.01,10000,TS-NIV,44.66821452127823
0.01,50000,TS-NIV,0.6458955487826175
0.1,100,TS-NIV,1.4023848345761758
0.1,500,TS-NIV,0.1128261392988585
0.1,1000,TS-NIV,1.2017169175135127
0.1,5000,TS-NIV,2.2510141900184775
0.1,10000,TS-NIV,247.0291716868926
0.1,50000,TS-NIV,0.004443436575728292
0.5,100,TS-NIV,0.19281185272195744
0.5,500,TS-NIV,0.27894771193303064
0.5,1000,TS-NIV,0.06862941733126841
0.5,5000,TS-NIV,0.005732249195959069
0.5,10000,TS-NIV,0.006948841680345524
0.5,50000,TS-NIV,5.264502835111457e-06
1.0,100,TS-NIV,0.43648522453283
1.0,500,TS-NIV,1.2762215550487594
1.0,1000,TS-NIV,0.016150239670578548
1.0,5000,TS-NIV,0.011489720808366227
1.0,10000,TS-NIV,0.02477326081036705
1.0,50000,TS-NIV,0.0018240411179964323
0.0,100,TS-NIV,4.095874749482458
0.0,500,TS-NIV,0.9038265894603078
0.0,1000,TS-NIV,0.03777020930935089
0.0,5000,TS-NIV,71.85541072422056
0.0,10000,TS-NIV,25.212396228385543
0.0,50000,TS-NIV,0.011219920767214588
0.01,100,TS-NIV,2.1682143260831976
0.01,500,TS-NIV,190.15428750738306
0.01,1000,TS-NIV,0.27560883753389953
0.01,5000,TS-NIV,0.8783494713781452
0.01,10000,TS-NIV,31.424807079295846
0.01,50000,TS-NIV,5.2448412398780055
0.1,100,TS-NIV,0.08630361751192858
0.1,500,TS-NIV,5765.681202643551
0.1,1000,TS-NIV,0.014887642483553605
0.1,5000,TS-NIV,0.6252759288993532
0.1,10000,TS-NIV,4.188221944040607
0.1,50000,TS-NIV,0.3424135941913193
0.5,100,TS-NIV,0.5498408271939996
0.5,500,TS-NIV,0.34349831534859
0.5,1000,TS-NIV,0.03819993468393492
0.5,5000,TS-NIV,0.0016427907359421727
0.5,10000,TS-NIV,0.0001439384818632954
0.5,50000,TS-NIV,0.012005678120402966
1.0,100,TS-NIV,15.922099151184907
1.0,500,TS-NIV,0.40301325307802427
1.0,1000,TS-NIV,0.002231957484957358
1.0,5000,TS-NIV,0.002251502304157693
1.0,10000,TS-NIV,0.0063679834642286675
1.0,50000,TS-NIV,4.501296063731665e-05
0.0,100,TS-NIV,2.312968456798516
0.0,500,TS-NIV,0.4636110365086591
0.0,1000,TS-NIV,8.100739785676272
0.0,5000,TS-NIV,51.456178915348126
0.0,10000,TS-NIV,1.4674689752303351
0.0,50000,TS-NIV,13.522809367910739
0.01,100,TS-NIV,0.19716778506679067
0.01,500,TS-NIV,0.11140009422707088
0.01,1000,TS-NIV,0.010820051935164506
0.01,5000,TS-NIV,0.2088762904904392
0.01,10000,TS-NIV,13.633300371750973
0.01,50000,TS-NIV,5.8173497395465255
0.1,100,TS-NIV,2.389608721679643
0.1,500,TS-NIV,37.205507438066476
0.1,1000,TS-NIV,2.040713588694409
0.1,5000,TS-NIV,0.04054800884725796
0.1,10000,TS-NIV,146.0428430400967
0.1,50000,TS-NIV,0.4178933727659663
0.5,100,TS-NIV,31.567891792581637
0.5,500,TS-NIV,0.12834017738270773
0.5,1000,TS-NIV,85.60812967352044
0.5,5000,TS-NIV,23.65707031719151
0.5,10000,TS-NIV,0.7623031939833458
0.5,50000,TS-NIV,0.40344085560578435
1.0,100,TS-NIV,0.020554922483592978
1.0,500,TS-NIV,1.5751502886210536
1.0,1000,TS-NIV,0.30175848229232644
1.0,5000,TS-NIV,0.02280027451018462
1.0,10000,TS-NIV,0.0076589213160633655
1.0,50000,TS-NIV,8.396406583813616e-06
0.0,100,TS-NIV,6.468775442513309
0.0,500,TS-NIV,0.7460674472751282
0.0,1000,TS-NIV,0.7350477594371706
0.0,5000,TS-NIV,172.98677908874157
0.0,10000,TS-NIV,14757.671816429463
0.0,50000,TS-NIV,18.29174691455888
0.01,100,TS-NIV,0.08985910004385142
0.01,500,TS-NIV,4.573991159158938
0.01,1000,TS-NIV,1.3807122925909252
0.01,5000,TS-NIV,1.4556608684288643
0.01,10000,TS-NIV,19.282904655264215
0.01,50000,TS-NIV,0.17500584743096048
0.1,100,TS-NIV,1.077855997964588
0.1,500,TS-NIV,0.09001339416018003
0.1,1000,TS-NIV,0.00957256183132405
0.1,5000,TS-NIV,5.364013825066188
0.1,10000,TS-NIV,8.182389751247738
0.1,50000,TS-NIV,5.683777135635193
0.5,100,TS-NIV,0.024123675292960882
0.5,500,TS-NIV,0.003966049023273863
0.5,1000,TS-NIV,0.1844513308596113
0.5,5000,TS-NIV,0.00017200098153233822
0.5,10000,TS-NIV,0.0022066698863071905
0.5,50000,TS-NIV,0.0031856627160533387
1.0,100,TS-NIV,1.0263741419005916
1.0,500,TS-NIV,0.010015194479167381
1.0,1000,TS-NIV,0.21244662937520964
1.0,5000,TS-NIV,0.13110718770355825
1.0,10000,TS-NIV,0.0014624241345337031
1.0,50000,TS-NIV,0.00369819888453982
0.0,100,TS-NIV,1.9241108650317136
0.0,500,TS-NIV,2.116607989098324
0.0,1000,TS-NIV,2.231172779887687
0.0,5000,TS-NIV,0.27712563244685867
0.0,10000,TS-NIV,0.8809341961295942
0.0,50000,TS-NIV,22.062264610570086
0.01,100,TS-NIV,0.5643485703359612
0.01,500,TS-NIV,0.06328966035543422
0.01,1000,TS-NIV,0.07348334214455522
0.01,5000,TS-NIV,0.019984621038243045
0.01,10000,TS-NIV,0.29381221587448253
0.01,50000,TS-NIV,0.27251614664086615
0.1,100,TS-NIV,2.6546482973966494
0.1,500,TS-NIV,0.46270429143626657
0.1,1000,TS-NIV,1.9290217654674837
0.1,5000,TS-NIV,0.277693943925252
0.1,10000,TS-NIV,293.4072360123521
0.1,50000,TS-NIV,0.0596563857098146
0.5,100,TS-NIV,3.2808134798636077
0.5,500,TS-NIV,0.05966738194665684
0.5,1000,TS-NIV,0.023131544731378947
0.5,5000,TS-NIV,0.002022236424443603
0.5,10000,TS-NIV,0.004345458262944773
0.5,50000,TS-NIV,0.0015019068238981905
1.0,100,TS-NIV,0.27142157259970695
1.0,500,TS-NIV,47238.51426464143
1.0,1000,TS-NIV,0.11743477954886303
1.0,5000,TS-NIV,0.09755519091966759
1.0,10000,TS-NIV,0.007248960933404671
1.0,50000,TS-NIV,0.002806844023436627
0.0,100,TS-NIV,0.5379555243777175
0.0,500,TS-NIV,0.40765512841949053
0.0,1000,TS-NIV,2.4932939680073107
0.0,5000,TS-NIV,0.5271289172673908
0.0,10000,TS-NIV,2.3256685517441684
0.0,50000,TS-NIV,0.42559724029222545
0.01,100,TS-NIV,0.6328136190176703
0.01,500,TS-NIV,0.17982476308769862
0.01,1000,TS-NIV,18.70110656648396
0.01,5000,TS-NIV,4925.011674158057
0.01,10000,TS-NIV,1.5713676273731796
0.01,50000,TS-NIV,0.7430428755095998
0.1,100,TS-NIV,3.5130792256954826
0.1,500,TS-NIV,0.07286133816283599
0.1,1000,TS-NIV,3.8866192014061225
0.1,5000,TS-NIV,0.1603714127140346
0.1,10000,TS-NIV,0.040174331822702386
0.1,50000,TS-NIV,0.0007562453275710574
0.5,100,TS-NIV,1.275348855550117
0.5,500,TS-NIV,0.009514009755450071
0.5,1000,TS-NIV,0.007908777371591713
0.5,5000,TS-NIV,0.04959974938271274
0.5,10000,TS-NIV,0.010283150212308433
0.5,50000,TS-NIV,0.00048240018169224395
1.0,100,TS-NIV,0.6875530710232347
1.0,500,TS-NIV,1.1458542114268724
1.0,1000,TS-NIV,0.2024215561935804
1.0,5000,TS-NIV,0.29020832059158697
1.0,10000,TS-NIV,0.1846205754159994
1.0,50000,TS-NIV,0.04415564322221868
0.0,100,TS-NIV,0.4054755991164461
0.0,500,TS-NIV,4.414687206245025
0.0,1000,TS-NIV,0.010998550368070074
0.0,5000,TS-NIV,0.405932865762218
0.0,10000,TS-NIV,0.03577879202358583
0.0,50000,TS-NIV,0.515499340934245
0.01,100,TS-NIV,271.668985407382
0.01,500,TS-NIV,77.27675520618092
0.01,1000,TS-NIV,1.2777518362428408
0.01,5000,TS-NIV,2.446481577121267
0.01,10000,TS-NIV,1.2348981850636607
0.01,50000,TS-NIV,0.44980374402203077
0.1,100,TS-NIV,1.050563057170682
0.1,500,TS-NIV,4.856382307890391
0.1,1000,TS-NIV,3.100100132387868
0.1,5000,TS-NIV,1.1247128120574557
0.1,10000,TS-NIV,0.07584307930043337
0.1,50000,TS-NIV,0.24433313947108726
0.5,100,TS-NIV,0.007475644861825842
0.5,500,TS-NIV,1.908775519749473
0.5,1000,TS-NIV,64.18088884414126
0.5,5000,TS-NIV,1.43895678731865
0.5,10000,TS-NIV,1.9861218580383526
0.5,50000,TS-NIV,0.010206480966934361
1.0,100,TS-NIV,0.004649407208261844
1.0,500,TS-NIV,0.8403153425498298
1.0,1000,TS-NIV,0.03937109983509186
1.0,5000,TS-NIV,0.0007220905957671568
1.0,10000,TS-NIV,0.011206507196400062
1.0,50000,TS-NIV,0.001266801576518046
0.0,100,TS-NIV,2.290600431252734
0.0,500,TS-NIV,3.0178620708847457
0.0,1000,TS-NIV,6.804821061113974
0.0,5000,TS-NIV,0.31689913547236803
0.0,10000,TS-NIV,0.040221960129358206
0.0,50000,TS-NIV,8.042072284863464
0.01,100,TS-NIV,1.8079693837871762
0.01,500,TS-NIV,14.028825269592586
0.01,1000,TS-NIV,2.664214697972929
0.01,5000,TS-NIV,1.062021877651006
0.01,10000,TS-NIV,0.008772519083623033
0.01,50000,TS-NIV,841.6949373466313
0.1,100,TS-NIV,0.5813923072927136
0.1,500,TS-NIV,5.054017631055377
0.1,1000,TS-NIV,1812.645536044618
0.1,5000,TS-NIV,0.034966163946546024
0.1,10000,TS-NIV,0.020070256105697713
0.1,50000,TS-NIV,0.0033101210490195133
0.5,100,TS-NIV,0.8943857095659824
0.5,500,TS-NIV,0.03965397528543184
0.5,1000,TS-NIV,0.04514297856476475
0.5,5000,TS-NIV,0.002411203108047948
0.5,10000,TS-NIV,0.012238462663654406
0.5,50000,TS-NIV,0.0004985464517332144
1.0,100,TS-NIV,7.429450166241361
1.0,500,TS-NIV,0.00841034675267122
1.0,1000,TS-NIV,0.041648763958742244
1.0,5000,TS-NIV,0.006750855087088557
1.0,10000,TS-NIV,0.001404586297721607
1.0,50000,TS-NIV,0.004055607407481434
0.0,100,TS-NIV,0.4096920306359628
0.0,500,TS-NIV,22.014076766736526
0.0,1000,TS-NIV,0.19496762110977328
0.0,5000,TS-NIV,1.1404908861712497
0.0,10000,TS-NIV,0.5115919887968268
0.0,50000,TS-NIV,0.5632456635183853
0.01,100,TS-NIV,0.07709569198400132
0.01,500,TS-NIV,0.06600484771259219
0.01,1000,TS-NIV,3.447167603840254
0.01,5000,TS-NIV,0.3262052393466467
0.01,10000,TS-NIV,0.17669245594669128
0.01,50000,TS-NIV,57.602677236942256
0.1,100,TS-NIV,0.4302099881236276
0.1,500,TS-NIV,1.0977771719853353
0.1,1000,TS-NIV,0.00019660437372038712
0.1,5000,TS-NIV,14.550172267080008
0.1,10000,TS-NIV,38.34890467484344
0.1,50000,TS-NIV,0.07475644282901056
