n,niv_all,niv_single
1000,3.4965172190415546e-05,0.1608219010472291
1000,0.0003724001737569727,0.023758521966254838
1000,0.0008688919541886756,0.008911725586769111
1000,0.005031315138411279,0.006261304328869873
1000,0.07537155612783328,1.8387116719019925
1000,5.287965173361043e-05,0.04334938679895901
1000,0.0004876423265907464,0.7821506362914914
1000,0.029553024421221256,0.16588218192999854
1000,9.164989555583507e-05,1.0031154459778853
1000,0.004008654864383112,0.06842848651468217
1000,0.001850074055020003,0.16593945830803064
1000,0.00015952122821410032,0.12071387224085237
1000,0.0003950974681754248,0.11326068060196279
1000,0.010904515481564665,0.06433661722975578
1000,0.00017945524437407346,0.031535917612800966
1000,0.0012624452606840775,0.0138993470641862
1000,0.002163098985840918,0.0822257659578706
1000,3.160334256792847e-05,0.002947666034064749
1000,0.0014358333221974624,0.42638096836389466
1000,0.002035092274326889,0.02072284445282871
1000,0.0047064231862654635,0.21536295950635798
1000,0.00271294319988951,0.0017114014763496236
1000,0.0017640392398521616,0.043682443872896375
1000,3.54468270328426e-05,0.004124338221462332
1000,0.001291682376812658,0.002330822317769468
1000,0.0023306097839646813,0.0026857487980948354
1000,0.0015597616671293182,0.0016343699207210603
1000,0.0009184675336926148,0.014620033423060261
1000,0.0033928808898782414,0.0006664203624044735
1000,0.0009184248873938275,0.0028568949805460246
1000,0.013058223091418847,0.005233092655068253
1000,0.006810256142882854,0.0019302801914107333
1000,0.002103431102023893,0.014443296977022685
1000,0.006501996743676064,0.054346033346141895
1000,0.010769292083621405,0.01197524642754674
1000,0.003893044281219332,0.00413366043947346
1000,0.0029950106245947546,0.010995880825257836
1000,0.0005296216327118485,0.0013273491696737035
1000,0.007354349661776437,0.09085645363510889
1000,0.00314237688154797,0.03262126562274686
1000,0.00384391954511346,0.023683936004715463
1000,0.005337847602979047,0.015190773475303048
1000,0.00018640242446891944,0.0009477147817580006
1000,0.16040008372264808,0.10089189789287456
1000,0.0025571123935122448,0.031532614207351664
1000,0.0009389721780511164,0.0010515238982515879
1000,0.0015239046764369576,0.03386662052430676
1000,0.022000976600747603,0.035473462075551306
1000,0.002056516797803513,0.01838783239397563
1000,0.0003841019243445008,0.005281092917671343
1000,0.001343887166763973,0.24318607104971898
1000,0.05062368381819969,0.10196606116569504
1000,0.0017175532956849998,0.0001805226068332905
1000,0.04629407055482526,0.02929539575968849
1000,0.002395049988731939,0.0002554874065647635
1000,0.005954713510237203,0.008283683156799369
1000,0.011830435962539323,0.0773833501932171
1000,0.0055893789184937575,0.06467366645519759
1000,0.001396399310087042,0.014839934232682891
1000,0.001453286003563071,0.03490536430366646
1000,0.0005177948420038894,0.004613063441139669
1000,0.0005358195247362281,0.5803131528013772
1000,0.002138744775258405,0.001732239395716917
1000,0.0007085039329318376,0.2712219818660295
1000,0.01854838319163051,0.015031494805380238
1000,0.01408919424506638,0.32191436955372954
1000,0.0021471527731125465,0.05398360396273315
1000,0.00017760222041749633,0.00011542355334599006
1000,8.7770893974577e-05,0.00802757520548508
1000,0.00023078596461531078,0.00011605271532043779
1000,0.0005601300086751709,0.08426990909390612
1000,0.001634579468823922,0.011720968070316622
1000,0.0012267631810652514,0.008255964836913722
1000,0.0008087210993563644,0.15498954264889983
1000,0.00015147055529354006,0.011003817202826243
1000,0.0015201764387297663,0.0030818608388829107
1000,0.02708674541735725,0.00998681179133071
1000,1.4603147169215336,0.06071183187750765
1000,0.00011093933901383072,0.11966452201789408
1000,0.0023577884414566286,0.00424727601368696
1000,0.015763603270132476,0.036833447253436756
1000,0.003254866956530561,0.6126575289335381
1000,0.002359985900869875,0.014874511809803948
1000,0.08654828358361222,0.3172607610781924
1000,0.0015085459593461943,0.00024962945950809717
